cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Jobner,M,8,Rajasthan,12,Jaipur
Joda,M,21,Orissa,6,Kendujhar
Jodhpur,M,24,Gujarat,7,Ahmadabad
Jodhpur,M.Corp.,8,Rajasthan,15,Jodhpur
Jog Falls,N.A.C,29,Karnataka,15,Shimoga
Jogbani,N.A.,10,Bihar,7,Araria
Jogendranagar,C.T.,16,Tripura,1,West Tripura 
Jogindarnagar,N.P.,2,Himachal Pradesh,5,Mandi
Jolarpet,T.P.,33,Tamil Nadu,4,Vellore
Jona Pur,C.T.,7,Delhi *,9,South
Jonai Bazar,C.T.,18,Assam,13,Dhemaji
Jorapokhar,C.T.,20,Jharkhand,12,Dhanbad
Jorethang,N.T.A,11,Sikkim,3,South
